File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3A_OL_2_LFR____20160429T082338_20160429T082638_20180205T141013_0179_003_292_2340_LR2_R_NT_002.SEN3,3,292, 2016-04-29 08:25:36.091477,2297,1612,23.77968189,35.33778455,12.599999,12.48725201,5.306971904,0.59999996
S3A_OL_2_LFR____20160502T084605_20160502T084905_20180207T211455_0179_003_335_2340_LR2_R_NT_002.SEN3,3,335, 2016-05-02 08:47:47.375828,1951,3463,23.77968189,35.33778455, --, --,100, --
S3A_OL_2_LFR____20160506T084220_20160506T084520_20180207T201740_0180_004_007_2340_LR2_R_NT_002.SEN3,4,7, 2016-05-06 08:44:06.459830,2030,3157,23.77968189,35.33778455, --,15.32662628,29.6566077, --
S3A_OL_2_LFR____20160510T083836_20160510T084136_20180208T081615_0179_004_064_2340_LR2_R_NT_002.SEN3,4,64, 2016-05-10 08:40:25.194814,2102,2850,23.77968189,35.33778455,14.699999,17.13902069,0,0.59999996
S3A_OL_2_LFR____20160513T090102_20160513T090402_20180209T135242_0179_004_107_2340_LR2_R_NT_002.SEN3,4,107, 2016-05-13 09:02:33.350862,1685,4684,23.77968189,35.33778455,16.199999,16.18676372,22.16441207,0.59999996
S3A_OL_2_LFR____20160515T080840_20160515T081140_20180209T160559_0179_004_135_2340_LR2_R_NT_002.SEN3,4,135, 2016-05-15 08:10:48.512368,2525,367,23.77968189,35.33778455, --, --,100, --
S3A_OL_2_LFR____20160517T085718_20160517T090018_20180209T172158_0179_004_164_2340_LR2_R_NT_002.SEN3,4,164, 2016-05-17 08:58:52.413350,1764,4379,23.77968189,35.33778455,5.9999995,9.356948625,7.90842872,0.59999996
S3A_OL_2_LFR____20160519T080456_20160519T080756_20180209T184718_0179_004_192_2340_LR2_R_NT_002.SEN3,4,192, 2016-05-19 08:07:05.984635,2568,61,23.77968189,35.33778455, --, --,100, --
S3A_OL_2_LFR____20160521T085333_20160521T085633_20180212T194309_0180_004_221_2340_LR2_R_NT_002.SEN3,4,221, 2016-05-21 08:55:11.167042,1836,4074,23.77968189,35.33778455, --,13.2394729,76.27471384, --
S3A_OL_2_LFR____20160522T082723_20160522T083023_20180212T223318_0180_004_235_2340_LR2_R_NT_002.SEN3,4,235, 2016-05-22 08:29:19.847188,2281,1922,23.77968189,35.33778455, --,17.54879881,86.99271592, --
S3A_OL_2_LFR____20160525T084949_20160525T085249_20180213T064543_0179_004_278_2340_LR2_R_NT_002.SEN3,4,278, 2016-05-25 08:51:29.706832,1903,3768,23.77968189,35.33778455,10.2,12.04120634,0,0.59999996
S3A_OL_2_LFR____20160526T082338_20160526T082638_20180213T093535_0179_004_292_2340_LR2_R_NT_002.SEN3,4,292, 2016-05-26 08:25:37.597270,2330,1612,23.77968189,35.33778455,8.7,11.72809501,0,0.29999998
S3A_OL_2_LFR____20160529T084605_20160529T084905_20180213T173650_0179_004_335_2340_LR2_R_NT_002.SEN3,4,335, 2016-05-29 08:47:48.031276,1965,3461,23.77968189,35.33778455,13.499999,17.84134055,33.29864724,0.59999996
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3,4,349, 2016-05-30 08:21:55.084830,2373,1300,23.77968189,35.33778455,17.4,18.77138282,0,0.59999996
S3A_OL_2_LFR____20160602T084220_20160602T084520_20180214T134205_0179_005_007_2340_LR2_R_NT_002.SEN3,5,7, 2016-06-02 08:44:06.132079,2022,3153,23.77968189,35.33778455,15.299999,15.1788693,0.520291363,0.9
S3A_OL_2_LFR____20160606T083836_20160606T084136_20180215T000958_0179_005_064_2340_LR2_R_NT_002.SEN3,5,64, 2016-06-06 08:40:25.107118,2099,2847,23.77968189,35.33778455,16.8,18.36941707,23.10093652,0.59999996
S3A_OL_2_LFR____20160607T081225_20160607T081455_20180215T024417_0150_005_078_2340_LR2_R_NT_002.SEN3,5,78, 2016-06-07 08:14:30.838509,2477,677,23.77968189,35.33778455,12.299999,13.79188264,0,0.59999996
S3A_OL_2_LFR____20160609T090102_20160609T090332_20180215T211528_0150_005_107_2340_LR2_R_NT_002.SEN3,5,107, 2016-06-09 09:02:33.507308,1688,4683,23.77968189,35.33778455,9.9,13.74661727,0,0.59999996
S3A_OL_2_LFR____20160610T083451_20160610T083751_20180215T112429_0179_005_121_2340_LR2_R_NT_002.SEN3,5,121, 2016-06-10 08:36:43.901323,2172,2539,23.77968189,35.33778455, --,20.46912106,33.61082206, --
S3A_OL_2_LFR____20160611T080840_20160611T081140_20180216T112055_0179_005_135_2340_LR2_R_NT_002.SEN3,5,135, 2016-06-11 08:10:48.883278,2533,367,23.77968189,35.33778455, --,22.23130301,52.13319459, --
S3A_OL_2_LFR____20160613T085718_20160613T085928_20180216T170804_0130_005_164_2340_LR2_R_NT_002.SEN3,5,164, 2016-06-13 08:58:52.912349,1774,4378,23.77968189,35.33778455, --,16.58653738,94.58896982, --
S3A_OL_2_LFR____20160614T083107_20160614T083407_20180216T200825_0179_005_178_2340_LR2_R_NT_002.SEN3,5,178, 2016-06-14 08:33:02.464032,2239,2231,23.77968189,35.33778455,12.599999,18.00857032,30.8012487,0.59999996
S3A_OL_2_LFR____20160615T080456_20160615T080756_20180216T225645_0179_005_192_2340_LR2_R_NT_002.SEN3,5,192, 2016-06-15 08:07:06.655811,2583,60,23.77968189,35.33778455, --, --,100, --
S3A_OL_2_LFR____20160617T085333_20160617T085633_20180219T122153_0179_005_221_2340_LR2_R_NT_002.SEN3,5,221, 2016-06-17 08:55:12.072938,1856,4074,23.77968189,35.33778455,14.699999,16.79375542,0,0.9
S3A_OL_2_LFR____20160618T082723_20160618T083023_20180217T073526_0180_005_235_2340_LR2_R_NT_002.SEN3,5,235, 2016-06-18 08:29:20.836236,2303,1921,23.77968189,35.33778455,14.099999,15.89125808,0,0.59999996
S3A_OL_2_LFR____20160621T084949_20160621T085249_20180219T190504_0179_005_278_2340_LR2_R_NT_002.SEN3,5,278, 2016-06-21 08:51:31.031434,1932,3769,23.77968189,35.33778455,16.8,18.52351604,0,0.9
