File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3A_OL_2_LFR____20200831T083121_20200831T083421_20200901T124835_0180_062_178_2340_LN1_O_NT_002.SEN3, 062,178,2020-08-31 08:33:16.838057, (2232, 2235), 23.7796818931, 35.3377845486, 4.7999997, 7.347346090005166, 0, 0.29999998
S3A_OL_2_LFR____20200711T085352_20200711T085652_20200712T133035_0179_060_221_2340_LN1_O_NT_002.SEN3, 060,221,2020-07-11 08:55:30.784335, (1841, 4075), 23.7796818931, 35.3377845486, 4.4999995, 9.42237197521698, 0, 0.59999996
S3A_OL_2_LFR____20200712T082741_20200712T083041_20200713T125019_0179_060_235_2340_LN1_O_NT_002.SEN3, 060,235,2020-07-12 08:29:39.485212, (2286, 1923), 23.7796818931, 35.3377845486, 3.8999999, 9.413318908673544, 0, 0.29999998
S3A_OL_2_LFR____20200715T085007_20200715T085307_20200716T122931_0179_060_278_2340_LN1_O_NT_002.SEN3, 060,278,2020-07-15 08:51:49.450904, (1912, 3770), 23.7796818931, 35.3377845486, 15.899999, 19.66888537987462, 0, 0.9
S3A_OL_2_LFR____20200727T083854_20200727T084154_20200728T124746_0179_061_064_2340_LN1_O_NT_002.SEN3, 061,064,2020-07-27 08:40:44.522249, (2111, 2850), 23.7796818931, 35.3377845486, 11.699999, 16.449114487893127, 0, 0.59999996
S3A_OL_2_LFR____20200728T081243_20200728T081543_20200729T121143_0179_061_078_2340_LN1_O_NT_002.SEN3, 061,078,2020-07-28 08:14:50.055566, (2486, 680), 23.7796818931, 35.3377845486, 13.499999, 17.72653376572338, 0, 0.59999996
S3A_OL_2_LFR____20200730T090120_20200730T090420_20200731T141255_0179_061_107_2340_LN1_O_NT_002.SEN3, 061,107,2020-07-30 09:02:52.288671, (1690, 4685), 23.7796818931, 35.3377845486, 7.2, 11.318521699597758, 0, 0.59999996
S3A_OL_2_LFR____20200709T080514_20200709T080814_20200710T131438_0179_060_192_2340_LN1_O_NT_002.SEN3, 060,192,2020-07-09 08:07:25.560328, (2572, 62), 23.7796818931, 35.3377845486, --, --, 100, --
S3A_OL_2_LFR____20200716T082356_20200716T082656_20200717T133452_0179_060_292_2340_LN1_O_NT_002.SEN3, 060,292,2020-07-16 08:25:57.360729, (2340, 1614), 23.7796818931, 35.3377845486, 17.699999, 20.705439238968292, 19, 0.59999996
S3A_OL_2_LFR____20200724T081627_20200724T081927_20200725T131226_0179_061_021_2340_LN1_O_NT_002.SEN3, 061,021,2020-07-24 08:18:32.665684, (2439, 992), 23.7796818931, 35.3377845486, 6.8999996, 11.232985799195987, 0, 0.29999998
S3A_OL_2_LFR____20200731T083509_20200731T083809_20200801T133644_0179_061_121_2340_LN1_O_NT_002.SEN3, 061,121,2020-07-31 08:37:02.486557, (2170, 2542), 23.7796818931, 35.3377845486, 5.9999995, 9.369926597027575, 0, 0.29999998
S3A_OL_2_LFR____20200805T080513_20200805T080813_20200806T114842_0180_061_192_2340_LN1_O_NT_002.SEN3, 061,192,2020-08-05 08:07:24.399976, (2571, 63), 23.7796818931, 35.3377845486, --, --, 100, --
