File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV error 
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:21:55.797827, (2390, 1222), 23.52146221, 35.3035136117, 17.999998, 1.4999999
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:22:02.090027, (2533, 1451), 24.1088633486, 34.8384939628, 11.999999, 0.59999996
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:21:49.241668, (2241, 1268), 23.7406413294, 35.6702494069, 14.4, 0.59999996
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:21:56.589857, (2408, 1266), 23.6406988978, 35.239382985, 17.099998, 0.59999996
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:21:51.793717, (2299, 1579), 24.6130790942, 35.387757775, 17.4, 0.59999996
S3A_OL_2_LFR____20160503T081954_20160503T082254_20180207T191657_0179_003_349_2340_LR2_R_NT_002.SEN3, 003,349,2016-05-03 08:21:51.001725, (2281, 2087), 26.1060617339, 35.2047595178, --, --
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:21:56.228855, (2399, 1220), 23.52146221, 35.3035136117, 19.499998, 1.1999999
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:22:02.521018, (2542, 1448), 24.1088633486, 34.8384939628, 20.999998, 0.9
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:21:49.672659, (2250, 1267), 23.7406413294, 35.6702494069, 23.699999, 2.1
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:21:57.020886, (2417, 1263), 23.6406988978, 35.239382985, 21.599998, 0.9
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:21:52.224746, (2308, 1576), 24.6130790942, 35.387757775, 23.099998, 0.59999996
S3A_OL_2_LFR____20160530T081954_20160530T082254_20180213T201721_0179_004_349_2340_LR2_R_NT_002.SEN3, 004,349,2016-05-30 08:21:51.432717, (2290, 2085), 26.1060617339, 35.2047595178, 22.199999, 0.9
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:21:58.091126, (2441, 1222), 23.52146221, 35.3035136117, 35.699997, 1.1999999
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:22:04.383287, (2584, 1449), 24.1088633486, 34.8384939628, 28.499998, 0.9
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:21:51.490930, (2291, 1268), 23.7406413294, 35.6702494069, 23.399998, 0.59999996
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:21:58.839118, (2458, 1265), 23.6406988978, 35.239382985, 35.699997, 0.9
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:21:54.087016, (2350, 1577), 24.6130790942, 35.387757775, 30.299997, 0.59999996
S3A_OL_2_LFR____20160626T081954_20160626T082254_20180220T094453_0179_005_349_2340_LR2_R_NT_002.SEN3, 005,349,2016-06-26 08:21:53.250987, (2331, 2086), 26.1060617339, 35.2047595178, 35.1, 0.9
S3A_OL_2_LFR____20160723T081954_20160723T082254_20180224T121730_0179_006_349_2340_LR2_R_NT_002.SEN3, 006,349,2016-07-23 08:21:56.675745, (2408, 1219), 23.52146221, 35.3035136117, 17.999998, 1.1999999
S3A_OL_2_LFR____20160723T081954_20160723T082254_20180224T121730_0179_006_349_2340_LR2_R_NT_002.SEN3, 006,349,2016-07-23 08:22:02.967906, (2551, 1447), 24.1088633486, 34.8384939628, 14.4, 0.59999996
S3A_OL_2_LFR____20160723T081954_20160723T082254_2018022
