File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:54.197297, (2024, 3306),23.77968189,35.33778455, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:55.561342, (2055, 3229),23.52146221,35.30351361,14.4,14.49402905,93.02809573,1.1999999
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:46:01.237597, (2184, 3462),24.10886335,34.83849396, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:46:01.061596, (2180, 3464),24.11983311,34.84794784,14.4, --,100,15.599999
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:50.061123, (1930, 3752),25.14150322,35.3241276, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:52.305211, (1981, 3995),25.7972323,35.0530694, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:48.961045, (1905, 3266),23.74064133,35.67024941, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:55.297340, (2049, 3693),24.87775154,35.05394799, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:56.221382, (2070, 3273),23.6406989,35.23938299,15.299999,14.33055475,88.76170656,0.59999996
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:54.945302, (2041, 3497),24.31848324,35.18760437,31.199999, --,100,44.699997
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:50.765129, (1946, 3574),24.61307909,35.38775778, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:48.785044, (1901, 4083),26.10606173,35.20475952, --, --,100, --
S3B_OL_2_LFR____20190113T084407_20190113T084707_20200218T202438_0179_021_007_2340_LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:50.149124, (1932, 3383),24.0705597,35.53318964, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:54.013219, (2023, 3307),23.77968189,35.33778455, --,10.11666611,98.12695109, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:55.377264, (2054, 3230),23.52146221,35.30351361,13.799999,13.64999923,82.93444329,1.1999999
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:46:01.053519, (2183, 3463),24.10886335,34.83849396, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:46:00.877482, (2179, 3466),24.11983311,34.84794784, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:49.877012, (1929, 3754),25.14150322,35.3241276,11.999999,15.74285618,95.62955255,0.59999996
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:52.077133, (1979, 3996),25.7972323,35.0530694,13.799999,13.93365309,67.53381894,0.29999998
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:48.776968, (1904, 3268),23.74064133,35.67024941, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:55.113262, (2048, 3695),24.87775154,35.05394799, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:56.037304, (2069, 3275),23.6406989,35.23938299,12.599999,12.18933259,76.58688866,0.59999996
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:54.761225, (2040, 3498),24.31848324,35.18760437, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:50.581052, (1945, 3575),24.61307909,35.38775778, --, --,100, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:48.600967, (1900, 4085),26.10606173,35.20475952, --,13.57499921,99.16753382, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:49.965012, (1931, 3384),24.0705597,35.53318964,15.599999,19.19999886,99.89594173,1.1999999
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:57.980829, (2017, 3305),23.77968189,35.33778455,1.8,3.210164646,24.24557752,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:59.344875, (2048, 3228),23.52146221,35.30351361,5.3999996,5.4022137,71.80020812,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:05.021129, (2177, 3461),24.10886335,34.83849396,6.8999996,5.360526027,76.27471384,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:04.845092, (2173, 3464),24.11983311,34.84794784,16.499998,5.390816033,79.60457856,19.199999
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:53.844622, (1923, 3752),25.14150322,35.3241276,8.7,8.206603352,33.81893861,0.9
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:56.044745, (1973, 3995),25.7972323,35.0530694,12.599999,9.885082281,5.827263267,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:52.744579, (1898, 3266),23.74064133,35.67024941,3.2999997,3.449079539,66.07700312,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:59.080873, (2042, 3693),24.87775154,35.05394799,8.099999,7.869905547,0.416233091,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:00.004915, (2063, 3274),23.6406989,35.23938299,6.2999997,5.099419444,46.20187305,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:58.728835, (2034, 3497),24.31848324,35.18760437,15.899999,5.137499704,90.84287201,20.099998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:54.548662, (1939, 3574),24.61307909,35.38775778,5.9999995,6.279967034,36.1082206,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:52.568577, (1894, 4083),26.10606173,35.20475952,8.7,8.092947136,42.45577523,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:53.932623, (1925, 3382),24.0705597,35.53318964,4.7999997,5.294505207,43.18418314,0.29999998
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:00.469311, (2015, 3307),23.77968189,35.33778455,5.9999995,7.892404602,1.352757544,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:01.833357, (2046, 3230),23.52146221,35.30351361,11.699999,10.9732551,73.15296566,0.9
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:07.509610, (2175, 3463),24.10886335,34.83849396,14.4,15.01874911,85.01560874,0.59999996
