File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:55.852654,2014,3306,23.77968189,35.33778455,6.8999996,14.14784228,20.39542144,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:00.469311,2015,3307,23.77968189,35.33778455,5.9999995,7.892404602,1.352757544,0.59999996
S3B_OL_2_LFR____20230718T084449_20230718T084749_20230718T220355_0179_082_007_2340_PS2_O_NT_002.SEN3,82,7, 2023-07-18 08:46:36.041330,2015,3312,23.77968189,35.33778455,6.2999997,9.717064983,0, --
S3B_OL_2_LFR____20200320T084410_20200320T084710_20200321T134909_0179_037_007_2340_LN1_O_NT_002.SEN3,37,7, 2020-03-20 08:45:56.861032,2016,3307,23.77968189,35.33778455,6.5999994,7.795937061,0.104058273,0.59999996
S3B_OL_2_LFR____20210402T084420_20210402T084720_20210403T135429_0180_051_007_2340_LN1_O_NT_002.SEN3,51,7, 2021-04-02 08:46:06.334875,2016,3309,23.77968189,35.33778455,3.8999999,6.206373285,5.306971904,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:57.980829,2017,3305,23.77968189,35.33778455,1.8,3.210164646,24.24557752,0.29999998
S3B_OL_2_LFR____20191203T084410_20191203T084710_20191204T123303_0179_033_007_2340_LN1_O_NT_002.SEN3,33,7, 2019-12-03 08:45:56.552938,2017,3306,23.77968189,35.33778455,5.7,8.368292205,10.40582726,0.29999998
S3B_OL_2_LFR____20200416T084412_20200416T084712_20200417T123300_0179_038_007_2340_LN1_O_NT_002.SEN3,38,7, 2020-04-16 08:45:58.458063,2017,3306,23.77968189,35.33778455,4.7999997,6.921126386,92.61186264,0.29999998
S3B_OL_2_LFR____20200802T084420_20200802T084720_20200803T124548_0179_042_007_2340_LN1_O_NT_002.SEN3,42,7, 2020-08-02 08:46:07.101649,2017,3304,23.77968189,35.33778455,20.999998,25.43132002,0,0.9
S3B_OL_2_LFR____20210815T084432_20210815T084732_20210816T130426_0179_056_007_2340_LN1_O_NT_002.SEN3,56,7, 2021-08-15 08:46:18.420225,2017,3305,23.77968189,35.33778455,9.599999,14.03939908,47.97086368,0.59999996
