File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LRR____20180528T082315_20180528T090742_20200219T152300_2667_005_007______LR1_R_NT_002.SEN3,5,7, 2018-05-28 08:43:43.458644,6880,787,23.77968189,35.33778455, --,22.46363495,93.13215401, --
S3B_OL_2_LRR____20180601T082237_20180601T090702_20200219T152343_2665_008_007______LR1_R_NT_002.SEN3,8,7, 2018-06-01 08:43:14.862050,6933,777,23.77968189,35.33778455,6.2999997,9.424669626,21.12382934,0.29999998
S3B_OL_2_LRR____20180628T082244_20180628T090708_20200219T152930_2664_010_007______LR1_R_NT_002.SEN3,10,7, 2018-06-28 08:43:49.808983,7092,789,23.77968189,35.33778455, --,18.82857032,93.44432882, --
S3B_OL_2_LRR____20180725T082343_20180725T090801_20200219T153539_2658_011_007______LR1_R_NT_002.SEN3,11,7, 2018-07-25 08:43:48.050224,6746,789,23.77968189,35.33778455,23.099998,30.42621758,65.86888658,0.9
S3B_OL_2_LRR____20180821T082602_20180821T091014_20200219T154138_2652_012_007______LR1_R_NT_002.SEN3,12,7, 2018-08-21 08:43:43.958184,5934,789,23.77968189,35.33778455,18.3,24.77046582,44.32882414,0.9
S3B_OL_2_LRR____20180917T082915_20180917T091328_20200219T154736_2653_013_007______LR1_R_NT_002.SEN3,13,7, 2018-09-17 08:43:45.729133,4847,789,23.77968189,35.33778455, --,17.26914786,80.43704475, --
S3B_OL_2_LRR____20181014T083238_20181014T091653_20200219T155328_2655_014_007______LR1_R_NT_002.SEN3,14,7, 2018-10-14 08:43:48.083375,3707,789,23.77968189,35.33778455,17.4,22.53829647,90.21852237,0.9
S3B_OL_2_LRR____20181110T081025_20181110T085437_20200219T155927_2652_017_007______LR1_R_NT_002.SEN3,17,7, 2018-11-10 08:19:01.250086,2833,268,23.77968189,35.33778455, --, --,100, --
S3B_OL_2_LRR____20181217T083937_20181217T092344_20200219T160725_2647_020_007______LR1_R_NT_002.SEN3,20,7, 2018-12-17 08:45:51.065385,2025,826,23.77968189,35.33778455, --,11.99999925,97.50260146, --
S3B_OL_2_LRR____20190113T083914_20190113T092307_20200219T161316_2633_021_007______LR1_R_NT_002.SEN3,21,7, 2019-01-13 08:45:54.131299,2173,826,23.77968189,35.33778455, --,12.86666584,99.06347555, --
S3B_OL_2_LRR____20190209T083701_20190209T092046_20200219T161900_2625_022_007______LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:53.947186,2928,827,23.77968189,35.33778455, --,11.88529343,92.92403746, --
S3B_OL_2_LRR____20190308T083345_20190308T091737_20200219T162454_2632_023_007______LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:57.870796,4064,826,23.77968189,35.33778455,2.3999999,4.004289709,29.6566077,0.29999998
S3B_OL_2_LRR____20190404T083022_20190404T091429_20200219T163047_2647_024_007______LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:00.403313,5232,827,23.77968189,35.33778455,7.2,9.264422544,35.06763788,0.59999996
S3B_OL_2_LRR____20190501T082730_20190501T091150_20200219T163628_2660_025_007______LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:59.795985,6205,827,23.77968189,35.33778455,14.4,15.97137446,44.01664932,0.9
S3B_OL_2_LRR____20190528T082532_20190528T090957_20200219T164221_2665_026_007______LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:55.828317,6853,827,23.77968189,35.33778455,19.199999,18.68138182,60.87408949,0.59999996
S3B_OL_2_LRR____20190624T082448_20190624T090912_20200219T164751_2664_027_007______LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:53.258393,7089,827,23.77968189,35.33778455,19.8,19.42263259,24.14151925,0.9
S3B_OL_2_LRR____20190721T082537_20190721T090956_20200219T165355_2659_028_007______LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:55.786656,6824,826,23.77968189,35.33778455,9.9,16.25522525,33.29864724,0.59999996
S3B_OL_2_LRR____20190817T082748_20190817T091202_20200219T170114_2654_029_007______LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:55.612963,6079,826,23.77968189,35.33778455,14.699999,24.46944299,32.57023933,0.9
S3B_OL_2_LRR____20190913T083054_20190913T091507_20200219T170751_2653_030_007______LR1_R_NT_002.SEN3,30,7, 2019-09-13 08:45:54.928276,5019,826,23.77968189,35.33778455, --,24.01468396,85.11966701, --
S3B_OL_2_LRR____20191010T083413_20191010T091828_20200219T171344_2655_031_007______LR1_R_NT_002.SEN3,31,7, 2019-10-10 08:45:52.567110,3875,827,23.77968189,35.33778455, --, --,100, --
S3B_OL_2_LRR____20191106T083712_20191106T092129_20191107T132831_2657_032_007______LN1_O_NT_002.SEN3,32,7, 2019-11-06 08:45:54.461989,2868,826,23.77968189,35.33778455,9.599999,12.98507382,23.30905307,0.9
S3B_OL_2_LRR____20191203T083914_20191203T092326_20191204T121251_2652_033_007______LN1_O_NT_002.SEN3,33,7, 2019-12-03 08:45:56.486940,2186,826,23.77968189,35.33778455,6.5999994,9.885332766,29.76066597,0.9
S3B_OL_2_LRR____20191230T083943_20191230T092344_20191231T123227_2641_034_007______LN1_O_NT_002.SEN3,34,7, 2019-12-30 08:45:55.730077,2017,826,23.77968189,35.33778455, --,7.366666317,99.06347555, --
S3B_OL_2_LRR____20200126T083822_20200126T092210_20200127T124510_2628_035_007______LN1_O_NT_002.SEN3,35,7, 2020-01-26 08:45:53.495546,2464,827,23.77968189,35.33778455,9.299999,10.85512755,51.30072841,0.9
S3B_OL_2_LRR____20200222T083532_20200222T091918_20200223T131739_2626_036_007______LN1_O_NT_002.SEN3,36,7, 2020-02-22 08:45:54.588189,3436,826,23.77968189,35.33778455, --,12.44999931,96.25390219, --
S3B_OL_2_LRR____20200320T083204_20200320T091603_20200321T132717_2639_037_007______LN1_O_NT_002.SEN3,37,7, 2020-03-20 08:45:56.839035,4631,827,23.77968189,35.33778455,6.8999996,8.212774868,29.13631634,0.59999996
S3B_OL_2_LRR____20200416T082853_20200416T091307_20200417T121041_2654_038_007______LN1_O_NT_002.SEN3,38,7, 2020-04-16 08:45:58.304064,5724,827,23.77968189,35.33778455,5.1,7.784745301,93.86056191,0.29999998
S3B_OL_2_LRR____20200513T082630_20200513T091054_20200514T133601_2664_039_007______LN1_O_NT_002.SEN3,39,7, 2020-05-13 08:46:02.075053,6558,826,23.77968189,35.33778455,3.2999997,4.901777506,29.76066597,0.29999998
S3B_OL_2_LRR____20200609T082511_20200609T090937_20200610T131915_2666_040_007______LN1_O_NT_002.SEN3,40,7, 2020-06-09 08:46:04.944252,7023,826,23.77968189,35.33778455,13.499999,15.6143677,28.30385016,0.59999996
S3B_OL_2_LRR____20200706T082513_20200706T090935_20200707T115922_2662_041_007______LN1_O_NT_002.SEN3,41,7, 2020-07-06 08:46:07.118380,7024,826,23.77968189,35.33778455,18.9,23.178722,85.32778356,0.9
S3B_OL_2_LRR____20200802T082641_20200802T091057_20200803T122319_2656_042_007______LN1_O_NT_002.SEN3,42,7, 2020-08-02 08:46:07.035616,6524,826,23.77968189,35.33778455,22.499998,28.27880812,28.30385016,0.9
S3B_OL_2_LRR____20200829T082923_20200829T091336_20200830T124537_2653_043_007______LN1_O_NT_002.SEN3,43,7, 2020-08-29 08:46:06.882005,5602,826,23.77968189,35.33778455,10.2,13.42417951,23.82934443,0.59999996
